,articles
274,"NEW YORK—Contrasting the message with the one received by Hunter Biden, Sean Hannity reportedly played a voicemail from his dad calling him a piece of shit Monday to demonstrate what a healthy father–son relationship sounded like. “Hey, Sean, it’s Dad—I called you to tell you I hate you and I’ll always hate you,” stated Hannity’s father in the 25-minute recording, which the Fox News host praised as exemplary of the kind of traditional conservative values he was raised with. “You’ll always be a disappointment. You were a shitty kid and are a shitty adult. You are nothing to me. You are less than nothing. Fuck you, fuck you, fuck you. If I ever see you again, I’ll kill you. That’s a promise.” At press time, Hannity was playing a voicemail from his ex-wife to demonstrate what a successful marriage sounded like."
275,"WRIGHTSVILLE,  GA—In an attempt to reorient his campaign following weeks of  devastating scandals, the campaign of U.S. Senate candidate Herschel Walker  reportedly emailed supporters Tuesday citing an urgent need for  donations to fund abortions. “We’re begging you: Our campaign is  running out of time to pay for all the abortions we need to make it  across the finish line,” read the candidate’s email, which featured the subject line “PLEASE, INEEDAbortions!” and a message in which the former NFL running backpleaded with potential donors to chip in $1, $5, $10, or $25, stressing that cash was preferred. “Women close to me are getting pregnant left and right, and I need every dollar I can get to fight back. Let me say this again: Icannot support this many kidsand my girlfriends areway too pregnant. The liberals in Washington would love for them to give birth. We can’t let this happen!” At press time, Walker’s campaign had followed up with an email begging supporters to help him hire a hit man to murder his ex-wife and kids."
276,"As the Supreme Court begins a new term following a year filled with controversial decisions, including the overturning ofRoe v. Wade, some critics have called the court’s legitimacy into question.The Onionpolled all 330 million Americans for ideas on how to reform the court and restore its legitimacy in the eyes of the nation."
277,"WASHINGTON—Explaining why he and nearly every Republican in the House of Representatives had voted against a bill that would increase student access to counseling services, Minority Leader Kevin McCarthy stated Wednesday that a lack of mental healthcare in schools was precisely what got him where he is today. “My political career is a great example of what a completely broken mental healthcare system can create, and every kid deserves that same opportunity,” said the eight-term representative, telling reporters his rise to the top GOP position in the House could be credited to a complete absence of any self-reflection, therapy, or personal growth during his adolescence. “When I was in school, there weren’t any supportive adults I could speak to about my problems, let alone anyone trained as a therapist, and that’s what allowed me to skate by without raising any red flags, eventually reaching the point at which I may very well become the next speaker of the House. Where would I be today if I had received the years of intensive psychiatric care I almost certainly needed? You can hardly expect to make it in Washington if you receive adequate treatment for your narcissistic or antisocial personality disorder.” At press time, McCarthy had introduced a bill to equip public schools with bigger cracks in the system for aspiring young sociopaths to slip through."
278,"After the House of Representatives passed a bill to strengthen the presidential certification process,The Onionasked Republicans who voted against it why they oppose reforming the Electoral Count Act. “I have one ‘yes’ vote per year, and I’m saving it for the bill where we legalize cannibalism.” “I just vote against everything. Even if you put a bill on the floor mandating that every American had to suck my dick and give me $200 after, I would still vote against it.” “I think counting numbers is a made-up crock of shit that liberals invented.” “For so many years, I’ve wanted to see my brother killed by lunatic extremists. This is still my best chance.” “Being president shouldn’t be as easy as convincing everyone to vote for you. You should also have to imprison hundreds of violent militiamen who swarm the Capitol to kill you.” “I think it’s a sort of meaningless piece of legislation that doesn’t really address the underlying issues surrounding election integrity. Also, it still allows Black people to vote.” “The less votes are counted, the better my chance to be elected to higher office.” “I don’t know. Why does anyone do anything? Get off my fucking back.” “Everyone else must suffer as much as I, a man whose name sounds like knockoff salad dressing.” “I really want MTG to start calling me Bud Light so that it will catch on with the others, so I vote for whatever she does.” “I don’t know. I just look at whichever way the person next to me is voting and vote the same.” “Gohmie naughty!” “I thought the idea of electoral count reform was cockamamy back when I voted against it in 1887, and I still think it’s nonsense now!” “Because if it all breaks right in 2024, guess who’s gonna be president? That’s right, Mark Amodei.” “If my 17-year-old girlfriend’s vote doesn’t count, neither should anyone else’s.” “I didn’t want it to go forward because I don’t think that a bill on voting rights should get decided by something as undemocratic as the Senate.” “Wait, they record how we vote? Fuck! My constituents are going to be pissed.” “If you’ve read the entire bill, you know that it contains a lot of words, which made me tired and bored, so I voted nay.” “I have a special coin I keep in my desk. It has Thomas Jefferson on it. Whenever I have to cast a vote on a bill, I flip the coin. Heads is yea; tails is nay. People think I’m super conservative, but I’m not. Every decision I make is based on the coin, including the decision to never walk again. I love my coin.” “I couldn’t make the last Capitol riot, but I’m really hoping I get an invite for the next one.” “There aren’t enough frustrating ambiguities and loopholes in the presidential certification process to begin with, so I will be introducing my own bill to add a few wrinkles.” “The founding fathers designed our voting system to be so incredibly flawed that it is easy to exploit and manipulate, and it is our duty to keep it that way.” “Oh, is that what I was voting on?”"
279,"LANCASTER,  PA—Responding to growing demands from critics that he address ongoing concerns about his health, U.S. Senate candidate John Fetterman reportedly offered  voters full medical transparency at a rally Wednesday by ripping his  heart out of his chest. “It’s essential that we address any worries  voters have about their candidate’s fitness for office, which is why the lieutenant governor chose to tear out his still-beating heart and hold  it out for all to see,” said campaign manager Brendan McPhillips, stressing that  it was an essential part of running an honest campaign for Fetterman to  hold the pulsating organ close enough to the audience that it  splattered their shocked faces. “Frankly, we wanted to head  off any of our opponent’s ginned-up rumors about John’s health, and we  absolutely think we did that when he gasped out, ‘See? Do you see how it  still beats?’ as he grew increasingly pale and weak from blood loss. I  really believe we nipped the whole thing in the bud by the time he  collapsed onstage.” At press time, the campaign reportedly responded to  a follow-up question about Fetterman’s stroke by sending aides to saw  open the skull of the unconscious candidate."
280,"YOUNGSTOWN, OH—Addressing a rally this week with a lazy attempt to appeal to his supporters, former President Donald Trump said, ‘I’m Mr. Q the pedophile or whatever,” in a half-assed attempt to pander to QAnon. “Yeah, that’s right, it’s me, Mr. Q, the pizza demon, and I have kids in my basement and who knows what else,” Trump told the crowd before trailing off into several seconds of dead silence during which he reportedly tried to remember the exact details of discredited conspiracies accepted as fact by a significant portion of his base. “Sir Q, the reaper of Washington, and I am going to drink a kid’s blood or something. You guys remember me, JFK’s cousin who works with the secret cabal—does that sound right? What about UFOs? Do people like the UFOs? I’m so letter Q spooky!” According to reports, Trump went on to confuse his audience  by claiming his water bottle was filled with Kodachrome."
281,"Although the presidentialelection isn’t for another two years, it’s never too early to drive ourselves completely insane by speculating on the nominees.The Onionpolled all 330 million Americans for their predictions on who will lead the GOP ticket in the 2024 presidential election."
282,"WASHINGTON—Wondering if anyone had even looked at his voting record, Rep. David Hoffman (R-NC), a far-right member of Congress, reportedly wondered Tuesday what he had to do to get the media to stop calling him a moderate. “No matter how much hateful and extremist rhetoric I use, the media refuses to stop calling me a centrist Republican,” said Hoffman, adding that even liberal pundits referred to him as a “rare voice of reason” within the GOP despite his votes to strip healthcare from millions, inhumanely detain migrants at the border, and impose harsh sentences for minorities who commit nonviolent crimes. “I’ve worked in my district to curb voting access among Black residents. I’ve claimed the 2020 presidential election was stolen, ignoring the fact that I won reelection on the same ballot. I honestly don’t know what else I can do. I mean, do they want me to choke an immigrant to death with my bare hands? I will.” At press time, the media had described Hoffman as a consensus builder after he introduced a bill to execute any woman who receives an abortion."
283,"After Florida Gov. Ron DeSantis sent two planes of migrants to Martha’s Vineyard,The Onionasked local residents how they felt about the new arrivals to their posh community. “I was in shock when I saw the first plane of migrants fly into Martha’s Vineyard, but then all a sudden, there was the second plane.” “Well of course they’ll summer here, but where do they live most of the time?” “Depends. How old are they?” “Our community has risen up to put together about two weeks of goodwill for these migrants.” “I have an empty 17-bedroom Victorian not yet on the market—have they been preapproved for a loan yet?” “I just wish there were some way to house these migrants within our gigantic luxury homes that are vacant most of the year.” “Great, now we have to send a thank-you note.” “I worry the migrants won’t be able to appreciate my lobster gratin. I bet they don’t even know their way around a lobster fork. Oh, how I hate them and their small ways!” “If Ron DeSantis keeps this up, I’m going to have to reduce my campaign contributions to him from $10,000 to $9,950.” “I can fit 25 if they sleep vertically.” “It’s perfect timing. I’ve just run out of moving targets for my clients to practice on.” “DeSantis should have asked to use my plane before dropping $12 million on this stupid stunt.” “Impossible. The gate attendant would  never have let them in.” “Yes, of course we’ll take them in. My charity group keeps calling me selfish, and this is the perfect thing to shove in their faces at the next gala.” “I wish he’d let us know ahead of time which airline he’d be using so I could go long on their stock.” “Dumping these people here with no food, no water, and no plan is unspeakably cruel. He has my vote in 2024.” “Aye, I told my island brethren. I heard tell that a storm is a-brewin’, a storm of yon migrants comin’ ’pon us faster than the freezing rain of the bitterest nor’easter. I am a-fearin’ for mine little ones, as we hear how this mass of seething humanity be a-comin’ toward us faster than any whale slams his watery bulk ’pon a stout whaling ship. And then as I stood by me post, as I do in the lighthouse down at East Chop, a-waitin’ this seagoing vessel jammed with migrants, to breach our sandy shores, hopin’ it be exotic migrants from yon faraway lands of Ceylon or Zanzibar, what do I see but—good God, yon massive leering bird screaming through the very sky!What the blazes is this?I screamed to myself. Could it be real? Wherefore does Satan in all his cruel mystery invent such a terrifying metal bird speeding faster than any creature e’er I witnessed during my time on this earth?! I curse whoever defies God’s will by thrusting such a creature into the firmament, and I be settin’ sail this very morn with my family to flee this strange and cursèd new world.” “It’s nice to see some familiar faces of people I deported while  president coming back.” “Yeah, Reese Witherspoon’s here this weekend, too.” “Luckily, I have plenty of practice avoiding eye contact with the unfortunate from my time in New York.” “This is the worst thing that’s ever happened with an airplane.” “I’m happy to volunteer if they need someone to write them a letter of recommendation for the country club.”"
284,"The 2022 midterms are fast approaching, and a range of pressing issues will determine whether Americans will reelect a Democratic Congress or hand congressional control to Republicans.The Onionpolled all 330 million Americans to find out which issues will be dragging Americans to the polls in November."
285,"AUSTIN, TX—Citing a lack of originality in the Florida governor’s decision to ship displaced Venezuelans to Martha’s Vineyard this week, Texas Gov. Greg Abbott sent hundreds of migrants to Ron DeSantis’ house Friday to teach him a lesson about stealing other people’s ideas. “That was totally my thing first, and now he’s acting like he came up with this way to mislead, humiliate, and abuse immigrants all on his own?” said Abbott, who immediately ordered authorities to round up impoverished migrants and bus them to the home of his potential rival for the GOP presidential nomination as punishment for DeSantis copying his idea to exploit human beings by moving them around the country like pawns. “He could’ve just thrown them in prison instead of plagiarizing someone else’s signature move. And don’t act like it’s any different because he used planes instead of buses! I want the credit. I want voters to know this whole method of completely wrecking immigrants’ lives  wasmybrainchild.” Reached for comment, DeSantis said he only resorted to the political stunt after he first floated an idea to separate migrant children from their parents and put them in cages, a plan that led to him receiving a cease-and-desist letter from Donald Trump’s attorneys."
286,"“Who do these people think they are taking credit for undermining the Justice Department? That was all me, but they’ll never tell you that.” “I made this happen. I am an excellent lawyer who is still working for Mr. Trump and never got fired. I am not insane, and everybody loves me. Print that on your internet.” “Judge Cannon is a patriot for standing up to those evil traitors at the Justice Department. America will be cleansed in the blood of the legal establishment! Do you think that was enough to throw those Trump psychos off my scent, or should I keep going?” “Respectfully, no one gives a shit what I think after I biffed it so hard last time.” “If the special master finds that Trump has mesothelioma from exposure to asbestos at Mar-a-Lago, I can get him a settlement FAST!!!” “Do I have a law degree, or is that my sister? I can’t remember.” “As someone also appointed into a powerful judiciary role in a sham court system controlled entirely by minority rule, I support this judge 100%.” “It’s clearly not legitimate as a legal maneuver, so I’m sure it will get overruled by the next judge, who was also appointed by Trump, so—oh, wait, god damnit.” “I’m for it! Hear that, Mr. Trump? Take me back, please. Please.” “Well, it clearly has no basis in law, but it is technically legal as long as we keep prioritizing this idea of an infallible legal system over actually trying to do what’s right.” “You know ‘executive privilege’ is bullshit because there’s noSchoolhouse Rocksong about it.” “I think it’s always a good thing when people are treated with leniency and dignity in what can be a very broken legal system.” “A rendering most foule!” “I’ll tell you what I think, but you’ll have to pay my consulting rates, which are rounded up to the nearest hour. You’re at $750 and counting, so I’d ask what you’re going to ask.” “You didn’t hear this from me, but it’s unbridled favoritism.” “It’s a highly questionable decision that could upend the rule of law, but I’m going to keep quiet just in case I get to be the special master, which would fucking rock.” “Look, when theFederalist Society pays you this much money, you learn not to ask too many questions.” “This sends Donald Trump the dangerous message that he can do anything he wants, which is 100% true.” “I’m not dead! They lied to you! Somebody come dig me up!”"
287,"Since Mary Peltola’s defeat of Sarah Palin in a ranked-choice election for Alaska’s congressional seat, many Republicans have publicly and emphatically denounced the practice.The Onionasked Republicans why they oppose ranked-choice, and this is what they said. “It requires thoughtful analysis and consideration for each of the candidates, which would be a disaster for Republicans.” “How does it even work? Do you use a pen? A voting booth? At a polling place? On Election Day? No one can explain these things.” “We’re trying to let people have fewer votes, not more.” “Politics just gets so ugly when we have to compete with other candidates.” “As the GOP’s unpredictable swing voter, you might be surprised to hear that I have the exact same stance as the entire Republican Party.” “We’ve already chosen the next three American presidents.” “It’s an overly complicated process that makes rigging elections that much harder.” “Because I’d just write Trump in for every spot and I don’t want him coming in second to himself.” “I’m not stating my political affiliation, but I will see how this affects Republican candidates before directing my on-air panelists to absolutely tear it to pieces.” “It seems like it would be real easy to cheat when you let the will of the people prevail like that.” “It’s unfair to make me pick. I love all of the candidates equally.” “It seems like magic. And the only magic I support is from a magician named Christ.” “My book club tried ranked-choice. We ended up readingThe Goldfinch, and it sucked.” “I don’t see any point in it. Typically, Donald Trump only endorses one candidate per election.” “Knowing that people could rank me last would hurt my feelings.” “It’s a time-honored American tradition to make high-speed uninformed decisions and be forced to live with the consequences.” “Voting shouldn’t be turned into a game that favors the few, unless those few are also Republicans.” “To be honest, I’m not all that crazy about regular-choice voting.” “Where does the vote go after you vote it? You know it’s fake because you can’t tell me that.” “There’s no point in ranking politicians. We’re all the same.”"
288,"On Aug. 8, 2022, the FBI raided Donald Trump’s residence in search of documents he had illegally taken from the White House after his presidency. The following timeline details both the lead up to and fallout from the Justice Department’s dramatic investigation of Mar-a-Lago. Congressman William Lawrence introduces a bill to create a Department of Justice with the sole aim of illegally investigating Donald J. Trump. Trump exits White House with classified documents after mistaking them for his personal nuclear information. Trump instructs White House movers to be extra careful with boxes labeled “CLASSIFIED.” Barron Trump begins using a nuclear launch code as his Xbox gamertag. For a $25,000 donation, guests  at a Mar-a-Lago fundraiser for Trump’s Save America PAC are allowed five  minutes alone in the storage room with classified documents. National Archives reaches out to Justice Department in email with subject line “You Deal With This Dipshit.” Eric Trump enters storage room, runs nose along several documents, inhales deeply, and leaves. The DOJ successfully serves a grand jury subpoena to Trump by disguising it as a bribe from Mohammed bin Salman. Trump refuses FBI entry to Mar-a-Lago in effort to preserve proper dude-to-chick ratio. For several hours, Eric Trump excitedly stands outside FBI surveillance van parked near Mar-a-Lago waiting for ice cream man to open. After executing search warrant at Mar-a-Lago, FBI agents forced to wait 20 minutes for mandatory valet parking to retrieve vans. FBI returns to Mar-a-Lago after hearing there were more desserts at the dessert station than previously stated. FBI specialized plumbing division called in to confiscate over nine toilets’ worth of sensitive information. One Republican voter flips. FBI agents take an airboat tour of the Everglades to make the most of their time in Florida. Trump adds “un” to every document stamped “classified” still in his possession. Trump condemns investigators for entering room clearly marked “No FBI Allowed.” Justice Department’s entire case on verge of collapse after Trump declares he did absolutely nothing wrong. Archaeologists uncover 5,000 additional boxes of classified documents preserved on former site of Mar-a-Lago golf course."
289,"With numerous Fox News personalities deposed in the Dominion Voting Systems $1.6 billion defamation lawsuit against the network,The Onionasked its hosts and contributors how they felt about the legal proceeding. “I didn’t read it closely to find out why we’re suing them, but we’re going to take these suckers for all they’re worth!” “I really miss having the ability to toss out cases right about now.” “Whoever she is, she’s lying.” “This should be a cakewalk. You don’t get to be the best at eroding the last vestiges of social cohesion, media literacy, and complex thought in this country without getting hit with a lawsuit or two.” “This is just pathetic treasonous behavior by a woke American legal system that was dreamt up by the cancel culture founders. I am a serious person.” “I spent years—years—spewing bullshit and falsehoods. I was on the front lines. And they don’t even think to depose me? Un-fucking-believable.” “And has anyone checked to see if this Dominion fellow is a U.S. citizen?” “I only comment on active lawsuits where I can insult harassment victims.” “I am the Great Beast risen from the depths of Tartarus to bring oblivion to all; bow before my might as the blood tycoon descends upon the innocent to release your pitiful human forms from the chains of hope.” “Is this my defamation lawsuit with Dominion Voting Systems, my child custody battle with Dominion Voting Systems, or my medical malpractice lawsuit with Dominion Voting Systems? Please advise.” “I’m a little teacup, short and stout. Here is my handle, here is my spout. When I get all steamed up, hear me shout, ‘Tip me over and pour me out!’ Wait, what was your question?” “Sorry, I’ll have to get back to you. I spilled soup on my head again.” “They’re probably trying to reach Mario Batali. Happens all the time.” “The only reason Dominion is even bringing this suit is because they want to obscure what really happened in Benghazi on the night of Sept. 11, 2012.” “Of all the shit we lie about,thisis what we’re getting sued over?” “You are a rapist for asking me that question. You know that? A full-on rapist. Dick out and everything. That’s what you are. Voting systems lawsuit? Is that some code for ‘I’m a rapist’? Seems an awful lot like it is.” “Aw, nuts! You caught us! Good game. Same time tomorrow?” “I tried to get legal advice, but our in-house lawyer is just a skeleton sitting at a desk wearing a Confederate uniform.” “Look, I don’t know how Dominion can be mad at us. Spreading lies about the voting systems not working was thecompromise, okay? The top brass at Fox News originally wanted us to spread the rumor that the voting machines turned every American voter into a trans pedophile supersoldier in the Democratic Party army, but we hosts talked them down to just making totally false claims about the machines malfunctioning. And this is the thanks we hosts get.” “I’ve never even heard of this ‘voting’ you’re referring to.” “It’s insulting, disgusting, and downright un-American that I be held accountable for something as meaningless as words.” “In all my years as a guy who sits in front of a television prompter and repeats exactly what it says, I never in my life look angry, blink, blink again, beat fist on table, blink, blink again, get as red as possible, beat fist on table.” “Gutfeld! Gutfeld! Gutfeld! I think I’m having an aneur—Gutfeld! Greg! Greg! Gutfeld! Help me I can’t stop—Gutfeld! Gregorino! Gutfeld in the morning!” “We can’t trust machines. The Terminator was a machine, and so was Megatron.”"
290,"SAVANNAH, GA—Having not yet committed to participate in any of three scheduled debates with incumbent Georgia Sen. Raphael Warnock, GOP challenger Herschel Walker was reportedly brushing up on theoretical physics and linguistics Friday in order to formulate the ideal conditions for a contest with his rival. “I don’t want to leap into a debate without first ensuring that an optimized set of variables will apply, both in terms of the formal assumptions implicit in my opponent’s rhetorical constructions and in terms of how, at a subatomic level, the phenomenon of quantum entanglement will dictate the event’s proceedings,” Walker said before taking to a whiteboard to diagram computational neural networks that he described as part of an effort to establish a rough framework for a theory of verbal cognition that could, hypothetically, be used to predict Warnock’s debate tactics. “I just need time for a refresher on lexical-functional grammar so I can better understand how syntactical structure relates to the morphology and semantics of language development in human societies. Then I should be able to calculate all possible arguments and counterarguments that, when viewed through the discursive model within which we’re operating, could posit effective strategies for connecting with voters.” Walker added that he hadn’t gone this deeply into these topics since he made a name for himself in the 1980s as a particle physicist at CERN."
291,"WASHINGTON—Detailing the features of his controversial new debt-relief program intended to violently massacre hardworking Americans, President Joe Biden unveiled Wednesday a new student loan forgiveness plan that will require many taxpayers to be dragged out into the street and killed like dogs. “To help alleviate the burden of outstanding federal loans, honest citizens will be snatched from their homes in the dead of night, forced down upon their knees, and shot execution-style while they scream for mercy,” said Biden, touting how the sweeping executive order will fulfill his campaign promise of making cities run red with the blood of responsible, debt-free people, who under the new policy will be spat upon and burned alive. “Those decent individuals who, through hard work and sacrifice, have already paid off their student loans will be targeted first, and any college-educated person earning more than $125,000 per year will be dumped in a mass grave after being skinned alive. Meanwhile, those who have unpaid student debt will be given $10,000 and an unlimited supply of grenades to toss into random houses in affluent areas.” According to reports, Biden ended the press conference by taking out a gun and shooting every member of the White House press corps who appeared old enough to have paid back their college loans."
292,"WASHINGTON—Slowly edging into a room filled with White House advisors and congressional leaders, Vice President Kamala Harris is said to have quietly stepped into the frame behind President Biden during his Wednesday announcement that the federal government would cancel up to $20,000 in student debt. Sources confirmed Harris took great efforts to ensure the Roosevelt Room’s door closed silently as she entered and sidled up several inches behind the president, looking toward the press with a triumphant smile just as the photographs began. The vice president then reportedly exchanged glances with a visibly confused Education Secretary Miguel Cardona, giving him a silent thumbs-up before crossing her arms and nodding seriously at the cameras. According to reports, Harris slowly retreated out of the frame after the final photograph was taken and left as silently as she came."
293,"Since Jan. 6, 2021, many Trump supporters have been preparing to wage war against the U.S. government.The Onionasked conservatives why they are preparing for a civil war, and this is what they said. “We have no choice. The Constitution clearly states that the South shall rise again.” “It would just be nice to have a civil war we could teach about and not bring up slavery.” “I recently killed someone, and if the war comes soon enough, I’m hoping it can just get lumped in.” “Um, something about George Soros and immigrants or—hold on, I have it written down somewhere.” “I feel like carnage on a national scale might shake things up a little.” “It’s either prepare for a civil war or try to get out there and date again.” “I’ve got some vacation days saved up.” “It’d help me get my steps in.” “If I’ve learned one thing from watching the modern Democratic Party operate, it’s that they’re an uncompromising faction working in perfect harmony, and they’ll do anything to accomplish their goals.” “Not really sure. I’ll probably just do it until the NFL regular season starts.” “Oh, this isn’t for a civil war. I’ve always had this many guns.” “Just because you fantasize over something so much it becomes your entire personality doesn’t mean you want it to happen.” “You can only bomb so many Middle Eastern countries before you eventually start bombing your own.” “When I was a child, the government forced me to learn to read, and I can’t unlearn that. That’s tyranny.” “If regular war is good for the economy, a civil war must be twice as good.” “I’m rock hard just thinking about the profit we’d make.” “My ratings have been way up. So that’s not a great sign.” “We need new statues.” “It’s just easier to go to war again than take down my Confederate flag.” “I really don’t see any solution to this other than us getting killed by the government.”"
294,"AUSTIN, TX—Calling it a “vital” first step toward regulating mass shootings, Texas lawmakers passed a new law Monday that requires gun buyers to show proof of mental illness. “Starting today, all prospective firearm owners must be evaluated by a state-licensed physician and be able to document that they currently suffer from violent tendencies or are otherwise mentally disturbed,” said Texas Gov. Greg Abbott, adding that registered gun owners would need to take yearly exams to confirm they routinely threaten people’s lives, fantasize about murder, and actively wish to do harm against others or themselves. “Henceforth, no individual without a history of psychopathy or violence against women, children, or marginalized groups will be allowed to purchase automatic or semiautomatic weapons. And if they do not have an unsecured, unlocked area to store their gun, they will not be granted a license.” At press time, Abbott added that the state had passed further regulations requiring that anyone who had been reported to be planning a mass shooting of any kind be given complimentary ammunition and firearms."
295,"“Fuck him. I got my judges.” “This is exactly what happened in Nazi Germany to the Nazis.” “Law enforcement good…but raid bad… Trump good… Jim don’t understand… Jim angry! “What’s next? The FBI raids my house? I come out with my hands up, wearing nothing but a towel? The agents asks if my wife is home. I say no, I was just showering. I drop my towel, and it falls around my ankles. Their eyes widen. We run at each other. For hours, we make sweaty, steamy, passionate love, and then we collapse to the floor. They arrest me. We long for each other for months, until we lock eyes again in court. They shed a tear as I’m carted off to jail. Is that what you want? Is it?” “Who did what now? Sorry, I’m pretty burnt out, to be honest. No one tells you that being a pawn in an evil empire takes so much work.” “Thank God they did the raid. Trump took me from the White House and had me stashed in that safe for years.” “Damn it. And to imagine I was mere hours away from rolling out our new slogan, ‘Florida: The Only State Where the FBI Wouldn’t Dare Raid Your Home for Stolen Documents.’” “The FBI has strayed so far from the agency’s original mission to kill civil rights leaders.” “Oh, so let me guess—having a little classified White House information gets you canceled now?” “This is horrific, but unsurprising. Remember, Jesus had His Florida resort raided by the American government, too.” “I don’t understand. Dad said he sold Mar-a-Lago, and that’s why I couldn’t have my birthday party there.” “It’s appalling that the FBI is going after former president Donald Trump yet completely ignoring former president Hunter Biden.” “I am going to spank the FBI.” “If Trump can get investigated, then by that logic, that implies our country has laws and when those laws are broken, there are consequences. What kind of hell are we living in?” “Sure, the FBI raids Mar-a-Lago, but what about all the other issues that I say are more important in order to distract from the topic at hand?” “…and the primary function of law enforcement agencies isn’t to prevent or solve crime…it’s to maintain the status quo in order to protect the interests of the ruling oligarchy…” “Hoo doggy, imagine the shit they’d find in my house.” “This type of terrifying stuff only happens in brown people countries. But this is a white people country.” “This is not how the nation was taught to treat our elderly plutocrats.” “I am going to shoot the next law enforcement officer I see point-blank in the skull.”"
296,"PALM BEACH, FL—Clambering into the cardboard containers with delight the moment after agents had vacated the property, Eric Trump and Donald Trump Jr. were reportedly thrilled Monday when  the FBI seized classified documents from Mar-a-Lago and left behind dozens of empty boxes for them to play in. “C’mon, Eric, get into that space rocket, and I’ll give you a ride to the moon,” said Don Jr., urging his brother to join him in placing one of the small boxes labeled “White House: 2019” onto his head, space helmets that would protect them as they blasted off into outer space. “Weeeee! Keep pushing, Eric. Phew, we made it! Okay, now we can build a moon castle way up here to live in. You be Mom and I’ll be Dad and we’ll build it so no one can ever hurt us—not even the Apartment of Justice.” At press time, sources confirmed the brothers had tuckered themselves out and fallen sound asleep next to each other in the same box."
297,"“Policy should only be based on empirically sourced Scripture.” “I can’t support something I refuse to read.” “This bill will negatively affect Americans who survive by breathing methane.” “Just let the seas rise and wash me away from this miserable life.” “A dead and blighted planet is our best chance of taking China down.” “After the global climate apocalypse, I plan to broker an alliance between the cockroach and the beetle, both of whom I shall rule with a heavy pincer.” “I oppose government intervention in our looming deaths.” “The environment could be harboring immigrants.” “Not voting for a climate bill really sticks it to those pampered elite farmers and agricultural workers of effete urban enclaves like Wyoming.” “I stuck a fork inside a light socket and nearly died. If that was what clean energy feels like, I want it banned.” “I would save a lot on electricity if I didn’t have to keep the heat lamp plugged in on my lizard’s terrarium all day.” “Climate is all about perspective. Some people run hot, I run cold. The temperature is whatever you make of it.” “Did you know trees’ pollen is basically their ejaculate? And it’s entering our children. They’re pedos.” “My hairspray use alone has raised the temperature of the planet by 5 degrees. “Clean energy would mean that more minorities would survive, and that goes against my duty as an elected official.” “Say what you will, but a climate crisis makes it more likely that I die in a hurricane.” “I wake up every night to awful night terrors, tortured by the painful knowledge that I have no moral core and will vote along whatever party line serves me best, sacrificing society for my own personal gain, so I figure might as well lean into it.” “I refuse to turn America into some kind of clean-energy dystopia where we have breathable air and potable water and our nation’s oil lobbyists go hungry every single night.” “The devil takes many forms, and one of those forms is a wind turbine. Another form is a hydraulic dam. And another form is the solar panel that keeps telling me to kill my family.” “They wouldn’t try my idea for shrimp energy. It’s an alternative form of energy where you have shrimp run, or swim, or whatever, I haven’t totally ironed that part out yet, but then they make energy that is natural, like the good kind of energy, way better than wind energy, which frankly makes me frightened. I gave Congress all these diagrams, which I drew all by myself, of hundreds of happy shrimp jumping or rotating very quickly, and that creates tons of energy, like 100 energies per second, but noooo, the Democrats aren’t interested. Well, if you wanted to lose the Shelley Moore Capito vote, you done lost it!” “Don’t understand. Bill Democrat, Democrat bad? Republican good, Democrat bad? No Democrat, yes Republican. Right?” “There is a terrifying link between living on the same planet as a wind turbine and being transgender.” “Because I am unequivocally dead inside and I wish to spread the seed of darkness to all who inhabit this forsaken planet. Plus, money.”"
298,"WASHINGTON—Assuring the public that he intended to make the diplomatic situation his top priority, President Biden told reporters Thursday that the United States would not rest until WNBA star Brittney Griner was returned home to serve a marijuana possession sentence. “Rest assured that we will keep our nose to the grindstone until we have word that Miss Griner is back on American soil and safely behind bars for breaking the law,” said Biden, who characterized the basketball star’s sentence of nine years in a Russian penal colony for 0.7 grams of cannabis oil as a “gross miscarriage of justice” when she should be incarcerated in a federal prison for the same thing right here in the United States. “This is an American citizen we’re talking about. She should be prosecuted to the full extent of the law in her own country for participating in the trade of illegal narcotics. Right here and now, I’m pledging to Miss Griner’s family: Brittney is coming back to America and then she’s going away for a very, very long time.” At press time, the Kremlin had reportedly indicated that they were open to a prisoner swap in which the U.S. returned a notable Russian dissidents  so that he could be placed in a Chechen concentration camp."
299,"TAIPEI—Explaining that the powerful display had left her feeling humbled and honored, House Speaker Nancy Pelosi told reporters Thursday she was moved by China’s  spectacular show of military force celebrating her visit to Asia. “Wow, I wasn’t sure how the Chinese government felt about this Taiwan trip, but throwing a whole military extravaganza in my honor makes me get the message loud and clear,”  said Pelosi, who reported being “delighted” and “really touched” when Chinese warships and helicopters appeared in full force to run military drills off the coast of Taiwan in the wake of her visit. “I know how expensive those ballistic missiles are, so I would’ve been happy with one or two. But launching 11 of them? That’s just spoiling me. Really, I  can’t thank China enough for this warm welcome.” At press time, Pelosi added that if this was the sort of hospitality she could expect from China, she would plan to come back to Taiwan next year, too."
